transaction_id,client_id,montant,heure,jour_semaine,categorie,pays,canal,est_fraude,timestamp,delta_transaction,nb_transactions_24h,montant_moyen_30j
TXN0075721,201,38.04,7,5,alimentation,MA,mobile,0,2024-05-03 03:34:11,8220,5,62.06
TXN0080184,3626,125.27,21,3,loisirs,MA,carte_physique,0,2024-06-01 15:23:34,1398,3,83.29
TXN0019864,10955,13.96,18,2,alimentation,FR,en_ligne,0,2024-05-20 21:31:06,5733,3,21.85
TXN0076699,12527,47.54,14,6,loisirs,ES,carte_physique,0,2024-03-06 18:47:17,1399,3,24.22
TXN0092991,8638,158.31,21,1,transport,DE,en_ligne,0,2024-06-08 10:17:24,1522,2,251.48
TXN0076434,10578,20.84,15,3,alimentation,MA,carte_physique,0,2024-02-28 14:58:38,739,2,31.36
TXN0084004,13003,228.08,11,0,transport,MA,carte_physique,0,2024-02-16 21:12:02,507,3,452.26
TXN0080917,7983,45.76,14,2,divers,MA,carte_physique,0,2024-05-11 16:51:05,7385,2,54.78
TXN0060767,10225,73.58,20,5,alimentation,FR,carte_physique,0,2024-06-28 18:32:09,4133,1,118.79
TXN0050074,5099,15.4,7,6,sante,MA,en_ligne,0,2024-05-05 04:50:40,7496,4,10.72
TXN0027701,4747,139.91,12,4,voyage,MA,en_ligne,0,2024-04-07 17:08:12,7206,2,236.1
TXN0042141,7520,77.29,21,3,sante,MA,carte_physique,0,2024-03-04 09:42:01,1920,3,117.01
TXN0045080,4015,53.85,15,4,transport,MA,mobile,0,2024-04-05 19:24:34,3086,3,32.03
TXN0016638,1935,12.92,9,2,alimentation,DE,carte_physique,0,2024-03-15 05:47:21,3394,4,21.25
TXN0020424,992,57.77,10,2,transport,MA,mobile,0,2024-04-19 09:59:02,912,4,60.88
TXN0088702,4739,75.41,11,2,divers,MA,carte_physique,0,2024-04-18 21:17:39,491,5,73.45
TXN0000149,14152,28.1,10,6,alimentation,MA,carte_physique,0,2024-04-29 17:53:30,2415,6,37.43
TXN0001761,14061,24.01,14,3,alimentation,ES,carte_physique,0,2024-06-13 21:54:11,2654,3,29.19
TXN0063120,11588,72.49,12,6,voyage,MA,mobile,0,2024-01-30 09:55:21,401,4,132.86
TXN0069161,13841,110.57,7,6,alimentation,MA,mobile,0,2024-06-18 20:15:09,3168,1,160.76
TXN0064883,12420,4.22,17,6,transport,MA,carte_physique,0,2024-01-18 15:28:33,379,1,4.84
TXN0002495,10575,80.7,17,1,alimentation,MA,carte_physique,0,2024-06-09 15:24:23,1511,1,145.24
TXN0080296,616,16.24,6,4,alimentation,MA,carte_physique,0,2024-03-13 00:20:41,2293,3,28.6
TXN0019447,3550,10.41,6,0,loisirs,MA,mobile,0,2024-03-05 17:46:22,483,2,9.33
TXN0041331,9050,126.13,18,4,transport,FR,carte_physique,0,2024-01-02 22:41:53,10856,7,131.23
TXN0014888,6891,154.67,18,2,alimentation,FR,carte_physique,0,2024-01-12 15:34:35,5087,1,276.0
TXN0088636,4329,161.1,18,2,loisirs,MA,carte_physique,0,2024-03-14 15:02:48,4109,8,201.25
TXN0094892,8779,16.89,21,4,transport,ES,carte_physique,0,2024-03-25 18:39:07,9341,9,27.28
TXN0092731,14347,78.54,7,1,divers,FR,carte_physique,0,2024-05-04 06:37:10,1562,3,146.17
TXN0029130,10885,70.35,14,4,alimentation,MA,en_ligne,0,2024-04-30 18:24:27,546,3,46.55
TXN0079022,6783,63.27,13,6,loisirs,MA,carte_physique,0,2024-01-21 23:50:51,916,5,93.74
TXN0084936,4641,108.36,6,2,alimentation,US,en_ligne,0,2024-05-10 19:22:51,5857,2,126.12
TXN0016821,11726,32.9,21,0,alimentation,MA,carte_physique,0,2024-01-10 15:35:01,100,4,31.68
TXN0036733,4809,265.94,9,5,transport,MA,carte_physique,0,2024-04-27 09:06:13,2426,2,461.91
TXN0015602,14714,93.32,15,1,sante,FR,carte_physique,0,2024-03-10 19:22:21,27821,5,61.89
TXN0028533,3630,123.98,13,1,voyage,FR,carte_physique,0,2024-01-21 12:11:49,5267,3,224.04
TXN0069769,2031,127.07,20,2,transport,DE,mobile,0,2024-01-16 10:02:54,6245,1,109.18
TXN0011405,10123,177.69,22,1,sante,FR,mobile,0,2024-05-13 17:51:06,3905,6,117.63
TXN0096852,4498,51.12,21,4,transport,MA,carte_physique,0,2024-06-28 22:25:27,5480,4,99.24
TXN0016130,1246,59.4,13,6,alimentation,DE,carte_physique,0,2024-05-30 04:35:57,3222,3,83.74
TXN0019792,3261,23.84,11,6,loisirs,MA,en_ligne,0,2024-03-05 07:53:13,2122,3,28.18
TXN0089577,2385,31.68,11,2,sante,DE,mobile,0,2024-06-25 15:03:51,6996,5,58.3
TXN0040163,6032,93.37,9,0,transport,MA,en_ligne,0,2024-02-27 17:23:48,4453,4,112.63
TXN0031776,11669,38.35,9,2,alimentation,US,carte_physique,0,2024-05-14 15:04:03,4286,5,23.59
TXN0025330,13050,7.13,17,6,voyage,FR,en_ligne,0,2024-01-12 14:05:27,1299,1,12.84
TXN0079156,8951,10.61,11,5,alimentation,ES,carte_physique,0,2024-06-05 02:59:22,6983,8,19.03
TXN0051685,3136,38.21,20,2,tech,FR,en_ligne,0,2024-02-20 19:23:29,2075,2,47.49
TXN0075498,9575,16.06,17,4,sante,MA,en_ligne,0,2024-02-29 07:08:26,338,2,11.71
TXN0004727,5687,440.24,15,0,transport,MA,carte_physique,0,2024-05-16 16:00:34,3963,4,499.4
TXN0085198,14654,114.11,15,5,divers,GB,en_ligne,0,2024-03-07 09:04:39,2948,7,90.27
TXN0035795,4475,40.56,20,2,alimentation,MA,en_ligne,0,2024-01-20 05:44:38,287,3,52.26
TXN0012256,12376,154.15,11,6,alimentation,MA,en_ligne,0,2024-01-06 23:54:46,165,5,290.1
TXN0035718,11514,56.02,10,5,alimentation,MA,carte_physique,0,2024-01-24 00:29:22,2503,2,32.56
